target_name,signal_id,snr,drift_rate_hz_s,bandwidth_hz,center_frequency_hz,distance_pc,periodicity_score,modulation_score,complexity_score,stability_score,rfi_score,host_teq_k,host_insol,host_sy_dist,host_st_teff,estimated_eirp_w,structure_score,ids_proxy,tsdc_score,overall_score,notes,drift_group,freq_group,cluster_key,cluster_size
HIP7981_4021,HIP7981_4021,38.701433,0.660088,0.0016319999999723,1621.240275,10.0,0.5,0.5,0.5,0.5,0.0,,,,,3870.1433,1.0,0.2179728632461527,0.7544932158115383,0.5559682699899922,Very-narrowband; High-structure; High-IDS-proxy,0.66,1621.0,1621.0_0.66,1
HIP74981_2918,HIP74981_2918,59.78698,-0.32515,0.001115000000027,1384.277039,10.0,0.5,0.5,0.5,0.5,0.0,,,,,5978.698,1.0,0.2093536437613831,0.7523384109403458,0.554378476729106,Very-narrowband; High-structure; High-IDS-proxy,-0.33,1384.0,1384.0_-0.33,1
HIP66704_556,HIP66704_556,72.410116,-0.181763,0.0016320000001996,1378.480323,10.0,0.5,0.5,0.5,0.5,0.0,,,,,7241.0116,1.0,0.2057698168080048,0.7514424542020013,0.5538160945378252,Very-narrowband; High-structure; High-IDS-proxy,-0.18,1378.0,1378.0_-0.18,3
HIP66704_557,HIP66704_557,72.410116,-0.181763,0.0016320000001996,1378.480323,10.0,0.5,0.5,0.5,0.5,0.0,,,,,7241.0116,1.0,0.2057698168080048,0.7514424542020013,0.5538160945378252,Very-narrowband; High-structure; High-IDS-proxy,-0.18,1378.0,1378.0_-0.18,3
HIP66704_566,HIP66704_566,72.410116,-0.181763,0.0016320000001996,1378.480323,10.0,0.5,0.5,0.5,0.5,0.0,,,,,7241.0116,1.0,0.2057698168080048,0.7514424542020013,0.5538160945378252,Very-narrowband; High-structure; High-IDS-proxy,-0.18,1378.0,1378.0_-0.18,3
HIP4436_2060,HIP4436_2060,71.660704,-0.54529,0.0016310000000885,1384.215925,10.0,0.5,0.5,0.5,0.5,0.0,,,,,7166.0704,1.0,0.2059612997686455,0.7514903249421614,0.5505332644929678,Very-narrowband; High-structure; High-IDS-proxy,-0.55,1384.0,1384.0_-0.55,3
HIP4436_2061,HIP4436_2061,71.660704,-0.54529,0.0016310000000885,1384.215925,10.0,0.5,0.5,0.5,0.5,0.0,,,,,7166.0704,1.0,0.2059612997686455,0.7514903249421614,0.5505332644929678,Very-narrowband; High-structure; High-IDS-proxy,-0.55,1384.0,1384.0_-0.55,3
HIP4436_2062,HIP4436_2062,71.660704,-0.54529,0.0016310000000885,1384.215925,10.0,0.5,0.5,0.5,0.5,0.0,,,,,7166.0704,1.0,0.2059612997686455,0.7514903249421614,0.5505332644929678,Very-narrowband; High-structure; High-IDS-proxy,-0.55,1384.0,1384.0_-0.55,3
HIP7981_4021,HIP7981_4021,44.158508,-1.348875,0.0016319999999723,1621.787859,10.0,0.5,0.5,0.5,0.5,0.0,,,,,4415.8508,1.0,0.2152845859580436,0.7538211464895109,0.5488299256368775,Very-narrowband; High-structure; High-IDS-proxy,-1.35,1622.0,1622.0_-1.35,1
HIP74981_2918,HIP74981_2918,141.977018,-0.502505,0.0016270000000986,1384.257085,10.0,0.5,0.5,0.5,0.5,0.0,,,,,14197.7018,1.0,0.1940911642796082,0.748522791069902,0.544539380369259,Very-narrowband; High-structure,-0.5,1384.0,1384.0_-0.5,2
HIP74981_2918,HIP74981_2918,239.607305,-0.384269,0.0016279999999824,1384.27282,10.0,0.5,0.5,0.5,0.5,0.0,,,,,23960.7305,1.0,0.1858908801716637,0.746472720042916,0.5412158565121687,Very-narrowband; High-structure,-0.38,1384.0,1384.0_-0.38,1
