target_name,signal_id,snr,drift_rate_hz_s,bandwidth_hz,center_frequency_hz,distance_pc,periodicity_score,modulation_score,complexity_score,stability_score,rfi_score,host_teq_k,host_insol,host_sy_dist,host_st_teff,estimated_eirp_w,structure_score,ids_proxy,tsdc_score,overall_score,notes,drift_group,freq_group,cluster_key,cluster_size,abs_drift
HIP17147_11876,HIP17147_11876,25.367414,-0.266032,0.0016270000000986,1379.27751,10.0,0.5,0.5,0.5,0.5,0.0,,,,,2536.7414,1.0,0.2270520637979107,0.7567630159494777,0.564449103317696,Very-narrowband; High-structure; High-IDS-proxy,-0.27,1379.0,1379.0_-0.27,1,0.266032
HIP39826_860,HIP39826_860,26.70557,-0.295591,0.0016270000000986,1381.53505,10.0,0.5,0.5,0.5,0.5,0.0,,,,,2670.557,1.0,0.2259069221608451,0.7564767305402114,0.5635539261531788,Very-narrowband; High-structure; High-IDS-proxy,-0.3,1382.0,1382.0_-0.3,1,0.295591
HIP7981_4021,HIP7981_4021,28.697755,0.229596,0.0016310000000885,1621.87106,10.0,0.5,0.5,0.5,0.5,0.0,,,,,2869.7755,1.0,0.2243234890782889,0.7560808722695723,0.5633294465673379,Very-narrowband; High-structure; High-IDS-proxy,0.23,1622.0,1622.0_0.23,1,0.229596
HIP74981_2918,HIP74981_2918,59.78698,-0.32515,0.001115000000027,1384.277039,10.0,0.5,0.5,0.5,0.5,0.0,,,,,5978.698,1.0,0.2093536437613831,0.7523384109403458,0.554378476729106,Very-narrowband; High-structure; High-IDS-proxy,-0.33,1384.0,1384.0_-0.33,1,0.32515
